,Iteração,a,f(a),b,f(b),c,f(c),f(a)*f(c),f(c)*f(b),|xn - xn-1|,|xn - xn-1|/|xn|,|F(xn)|
0,0,1.0,-1.0,2.0,0.3862943611198906,1.5,-0.3918023378377534,0.3918023378377534,-0.15135103378031448,0.5,0.3333333333333333,0.3918023378377534
1,1,1.5,-0.3918023378377534,2.0,0.3862943611198906,1.75,-0.020672371113010346,0.008099483330727094,-0.007985620391933613,0.25,0.14285714285714285,0.020672371113010346
2,2,1.75,-0.020672371113010346,2.0,0.3862943611198906,1.875,0.1786412364169514,-0.003692937935298238,0.06900810229135357,0.125,0.06666666666666667,0.1786412364169514
3,3,1.75,-0.020672371113010346,1.875,0.1786412364169514,1.8125,0.07790663279088061,-0.001610514825218105,0.013917337206844321,0.0625,0.034482758620689655,0.07790663279088061
4,4,1.75,-0.020672371113010346,1.8125,0.07790663279088061,1.78125,0.02834299396827955,-0.0005859168897660886,0.002208107223280899,0.03125,0.017543859649122806,0.02834299396827955
5,5,1.75,-0.020672371113010346,1.78125,0.02834299396827955,1.765625,0.0037661733570557576,-7.785573331298864e-05,0.00010674462874252649,0.015625,0.008849557522123894,0.0037661733570557576
6,6,1.75,-0.020672371113010346,1.765625,0.0037661733570557576,1.7578125,-0.008470460046244743,0.0001751044935738981,-3.190122094817223e-05,0.0078125,0.0044444444444444444,0.008470460046244743
7,7,1.7578125,-0.008470460046244743,1.765625,0.0037661733570557576,1.76171875,-0.0023564740022450348,1.9960418886031014e-05,-8.8748896038498e-06,0.00390625,0.0022172949002217295,0.0023564740022450348
8,8,1.76171875,-0.0023564740022450348,1.765625,0.0037661733570557576,1.763671875,0.000703768212621636,-1.6584114966493412e-06,2.650513091918357e-06,0.001953125,0.0011074197120708748,0.000703768212621636
9,9,1.76171875,-0.0023564740022450348,1.763671875,0.000703768212621636,1.763671875,0.000703768212621636,-1.6584114966493412e-06,4.952896970966523e-07,0.001953125,0.0011074197120708748,0.000703768212621636
