Iteração,x,y,z,abs,rel
0,0.25,0.25,1.625,1.625,1.0
1,-0.03125,0.8854166666666666,2.4010416666666665,0.7760416666666665,9.0
2,0.09244791666666669,1.1028645833333333,2.556640625,0.21744791666666663,1.3380281690140845
3,0.16227213541666663,1.1314561631944444,2.550320095486111,0.06982421874999994,0.4302908726178533
4,0.17814805772569442,1.124057345920139,2.534983317057292,0.01587592230902779,0.08911644904640459
5,0.17828284369574654,1.1189001577871818,2.529758735939309,0.005224581117983185,0.004609158464287395
6,0.1770103949087637,1.117582780343515,2.5290775828891334,0.0013173774436667784,0.007188554026099464
7,0.17652199444947414,1.1175185294798864,2.5292575322551496,0.0004884004592895508,0.0027667966295800354
8,0.1764448816761558,1.1176042168596647,2.529381776021587,0.00012424376643727086,0.00043703604539731386
9,0.17645666442443564,1.117641703865717,2.529413371653499,3.7487006052217e-05,6.677417550805207e-05
